Fecha,Nombre del Comercio,Direccion del Comercio,Vecindario del Comercio,Area del Comercio,Codigo Postal del Comercio,Categoria del Comercio,Telefono del Comercio,Web del Comercio,Moneda,Cantidad Total,Descripcion del Producto,SKU del Producto,UoM del Producto,Categoria del Producto,Precio Unitario del Producto
2024-04-14 10:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advancecareplus.com,USD,48.43,M Acp PlanEqqvaentianwtab,N/A,N/A,Repairs & Maintenance,1.19
2024-04-14 10:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advancecareplus.com,USD,48.43,H Twin  Ea Sylvn,H11BP2,N/A,Repairs & Maintenance,32.99
2024-04-14 10:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advancecareplus.com,USD,48.43, Yr Replacement If Defective,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-14 10:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advancecareplus.com,USD,48.43,M Acp PlanEqqvaentianwtac,N/A,N/A,Repairs & Maintenance,3.09
2024-04-02 18:33:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,15.29,Marine Cycle W  ,550063543,N/A,Repairs & Maintenance,14.29
2024-04-13 12:46:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,82.99,Filter Fuel Motorcra,FD4617,N/A,Repairs & Maintenance,82.99
2024-04-13 12:46:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,82.99, Yr Replacement If Defective,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-13 17:51:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,9.62,Toggle  Amp Chrome  ,85904Z,N/A,Repairs & Maintenance,8.99
2024-04-13 20:25:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,16.03,Oil Wgtx Hm  Qt C ,149D6C,N/A,Repairs & Maintenance,14.98
2024-04-13 20:25:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,16.03,Rule Spring  Bg,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-13 10:29:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,10.48,Gasket Material  Ea Fl ,3157,N/A,Repairs & Maintenance,9.79
2024-04-13 10:29:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,10.48, Yr Replacement If Defective,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-13 13:45:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,4.8,Clip Nut  Pc Dormn ,961304D,N/A,Repairs & Maintenance,4.49
2024-04-13 13:45:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,4.8,Limited Lifetime Replacement,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-24 20:54:00,Kfc,"13200 Southwest 8th Street, Miami, FL 33184-1176, USA",Miami,FL,33184-1176,Fast Food,13052212740,www.kfclistens-usa.com,USD,32.72,Pc MealLrg ColeslawLrg Mash Gvy Biscuit,0000000000000000000000000000000000000000,N/A,Meals & Entertainment,27.99
2024-04-24 20:54:00,Kfc,"13200 Southwest 8th Street, Miami, FL 33184-1176, USA",Miami,FL,33184-1176,Fast Food,13052212740,www.kfclistens-usa.com,USD,32.72,Drink OnlyMd Mtn Dew,N/A,N/A,Meals & Entertainment,2.59
2024-04-13 14:37:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,3.2,Cycle  Oil   ,46102,N/A,Repairs & Maintenance,2.99
2024-04-13 15:53:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,19.78,Cabin Air Filter  E  Discontinued,R90247,N/A,Repairs & Maintenance,18.49
2024-04-13 20:16:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,25.66,Fram Ant  Gl  EaF,12447461,N/A,Repairs & Maintenance,10.99
2024-04-13 20:16:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,25.66,Oil Stabilizer  Oz Lu ,10001,N/A,Repairs & Maintenance,12.99
